date	close
2002-08-19	95.400002
2002-08-20	94.389999
2002-08-21	95.75
2002-08-22	96.68
2002-08-23	94.599998
2002-08-26	95.260002
2002-08-27	94.160004
2002-08-28	92.099998
2002-08-29	92.139999
2002-08-30	91.779999
2002-09-03	88.279999
2002-09-04	89.540001
2002-09-05	88.779999
2002-09-06	90
2002-09-09	90.660004
2002-09-10	91.699997
2002-09-11	91.129997
2002-09-12	89.449997
2002-09-13	89.669998
2002-09-16	89.889999
2002-09-17	87.830002
2002-09-18	86.949997
2002-09-19	84.699997
2002-09-20	84.349998
2002-09-23	83.660004
2002-09-24	82.309998
2002-09-25	84.349998
2002-09-26	85.730003
2002-09-27	82.75
2002-09-30	81.790001
2002-10-01	85.720001
2002-10-02	83.150002
2002-10-03	82.309998
2002-10-04	80.800003
2002-10-07	79.129997
2002-10-08	80.370003
2002-10-09	78.099998
2002-10-10	80.629997
2002-10-11	84.160004
2002-10-14	84.629997
2002-10-15	88.699997
2002-10-16	86.550003
2002-10-17	88.269997
2002-10-18	88.639999
2002-10-21	90.169998
2002-10-22	89.519997
2002-10-23	90.199997
2002-10-24	88.360001
2002-10-25	90.199997
2002-10-28	89.610001
2002-10-29	88.57
2002-10-30	89.43
2002-10-31	88.519997
2002-11-01	90.269997
2002-11-04	91.129997
2002-11-05	91.849998
2002-11-06	93.040001
2002-11-07	90.760002
2002-11-08	89.650002
2002-11-11	88.260002
2002-11-12	88.959999
2002-11-13	89.050003
2002-11-14	90.730003
2002-11-15	91.400002
2002-11-18	90.480003
2002-11-19	90.360001
2002-11-20	92.370003
2002-11-21	94.089996
2002-11-22	93.419998
2002-11-25	93.480003
2002-11-26	91.699997
2002-11-27	94.279999
2002-11-29	93.980003
2002-12-02	94.129997
2002-12-03	92.870003
2002-12-04	92.449997
2002-12-05	91.43
2002-12-06	92.029999
2002-12-09	89.5
2002-12-10	90.699997
2002-12-11	90.779999
2002-12-12	90.769997
2002-12-13	89.339996
2002-12-16	91.650002
2002-12-17	90.849998
2002-12-18	89.800003
2002-12-19	89.160004
2002-12-20	89.989998
2002-12-23	90.019997
2002-12-24	89.349998
2002-12-26	89.389999
2002-12-27	87.379997
2002-12-30	88.110001
2002-12-31	88.230003
2003-01-02	91.07
2003-01-03	91.349998
2003-01-06	92.959999
2003-01-07	92.730003
2003-01-08	91.389999
2003-01-09	92.809998
2003-01-10	93.059998
2003-01-13	93.029999
2003-01-14	93.330002
2003-01-15	92.400002
2003-01-16	92.019997
2003-01-17	90.660004
2003-01-21	89.25
2003-01-22	88.169998
2003-01-23	88.709999
2003-01-24	86.379997
2003-01-27	85.199997
2003-01-28	85.830002
2003-01-29	86.480003
2003-01-30	84.43
2003-01-31	86.059998
2003-02-03	86.230003
2003-02-04	85.379997
2003-02-05	84.849998
2003-02-06	84.449997
2003-02-07	83.419998
2003-02-10	84.010002
2003-02-11	83.43
2003-02-12	82.099998
2003-02-13	82.349998
2003-02-14	84.150002
2003-02-18	85.629997
2003-02-19	85.18
2003-02-20	84.330002
2003-02-21	85.18
2003-02-24	83.800003
2003-02-25	84.470001
2003-02-26	83.239998
2003-02-27	84.339996
2003-02-28	84.900002
2003-03-03	84.089996
2003-03-04	82.75
2003-03-05	83.449997
2003-03-06	82.75
2003-03-07	83.32
2003-03-10	81.32
2003-03-11	80.519997
2003-03-12	81.059998
2003-03-13	83.860001
2003-03-14	84.129997
2003-03-17	86.779999
2003-03-18	87.290001
2003-03-19	87.959999
2003-03-20	88.150002
2003-03-21	89.669998
2003-03-24	86.690002
2003-03-25	87.519997
2003-03-26	87.080002
2003-03-27	87.150002
2003-03-28	86.709999
2003-03-31	84.739998
2003-04-01	86.040001
2003-04-02	88.120003
2003-04-03	87.699997
2003-04-04	88.220001
2003-04-07	88.050003
2003-04-08	88.190002
2003-04-09	87.029999
2003-04-10	87.510002
2003-04-11	87.150002
2003-04-14	88.949997
2003-04-15	89.779999
2003-04-16	88.25
2003-04-17	89.559998
2003-04-21	89.650002
2003-04-22	91.339996
2003-04-23	92.18
2003-04-24	91.360001
2003-04-25	90.230003
2003-04-28	91.790001
2003-04-29	92.110001
2003-04-30	91.910004
2003-05-01	91.900002
2003-05-02	93.209999
2003-05-05	93.029999
2003-05-06	93.910004
2003-05-07	93.389999
2003-05-08	92.449997
2003-05-09	93.730003
2003-05-12	94.879997
2003-05-13	94.709999
2003-05-14	94.510002
2003-05-15	95.110001
2003-05-16	94.870003
2003-05-19	92.650002
2003-05-20	92.459999
2003-05-21	92.650002
2003-05-22	93.57
2003-05-23	93.760002
2003-05-27	95.400002
2003-05-28	95.669998
2003-05-29	95.419998
2003-05-30	96.949997
2003-06-02	97.349998
2003-06-03	97.75
2003-06-04	99.160004
2003-06-05	99.650002
2003-06-06	99.260002
2003-06-09	98.25
2003-06-10	99.25
2003-06-11	100.300003
2003-06-12	100.610001
2003-06-13	99.559998
2003-06-16	101.660004
2003-06-17	101.660004
2003-06-18	101.57
2003-06-19	100.019997
2003-06-20	99.440002
2003-06-23	98.419998
2003-06-24	98.519997
2003-06-25	97.529999
2003-06-26	98.800003
2003-06-27	97.660004
2003-06-30	97.629997
2003-07-01	98.529999
2003-07-02	99.769997
2003-07-03	98.739998
2003-07-07	100.699997
2003-07-08	101.150002
